k,E,EF
0,-24.6536,-3.0225
0.0175,-24.6536,
0.035,-24.6536,
0.0526,-24.6536,
0.0701,-24.6536,
0.0876,-24.6536,
0.1051,-24.6536,
0.1226,-24.6536,
0.1401,-24.6536,
0.1577,-24.6536,
0.1752,-24.6536,
0.1927,-24.6536,
0.2102,-24.6536,
0.2277,-24.6536,
0.2452,-24.6536,
0.2628,-24.6536,
0.2803,-24.6536,
0.2978,-24.6536,
0.3153,-24.6536,
0.3328,-24.6536,
0.3504,-24.6536,
0.3679,-24.6536,
0.3854,-24.6536,
0.4029,-24.6536,
0.4204,-24.6536,
0.4379,-24.6536,
0.4555,-24.6536,
0.473,-24.6536,
0.4905,-24.6536,
0.508,-24.6536,
0.5255,-24.6536,
0.543,-24.6536,
0.5606,-24.6536,
0.5781,-24.6536,
0.5956,-24.6536,
0.6131,-24.6536,
0.6306,-24.6536,
0.6481,-24.6536,
0.6657,-24.6536,
0.6832,-24.6536,
0.7007,-24.6536,
0.7182,-24.6536,
0.7357,-24.6536,
0.7533,-24.6536,
0.7708,-24.6536,
0.7883,-24.6536,
0.8058,-24.6536,
0.8233,-24.6536,
0.8408,-24.6536,
0.8584,-24.6536,
0.8759,-24.6536,
0.8934,-24.6536,
0.9109,-24.6536,
0.9284,-24.6536,
0.9459,-24.6536,
0.9635,-24.6536,
0.981,-24.6536,
0.9985,-24.6536,
1.016,-24.6536,
1.0335,-24.6536,
,,
0,-23.2138,
0.0175,-23.2138,
0.035,-23.2138,
0.0526,-23.2138,
0.0701,-23.2138,
0.0876,-23.2138,
0.1051,-23.2138,
0.1226,-23.2138,
0.1401,-23.2138,
0.1577,-23.2138,
0.1752,-23.2138,
0.1927,-23.2138,
0.2102,-23.2138,
0.2277,-23.2138,
0.2452,-23.2138,
0.2628,-23.2138,
0.2803,-23.2138,
0.2978,-23.2138,
0.3153,-23.2138,
0.3328,-23.2138,
0.3504,-23.2138,
0.3679,-23.2138,
0.3854,-23.2137,
0.4029,-23.2137,
0.4204,-23.2137,
0.4379,-23.2137,
0.4555,-23.2137,
0.473,-23.2138,
0.4905,-23.2138,
0.508,-23.2138,
0.5255,-23.2138,
0.543,-23.2138,
0.5606,-23.2138,
0.5781,-23.2138,
0.5956,-23.2138,
0.6131,-23.2137,
0.6306,-23.2137,
0.6481,-23.2138,
0.6657,-23.2137,
0.6832,-23.2138,
0.7007,-23.2138,
0.7182,-23.2138,
0.7357,-23.2138,
0.7533,-23.2138,
0.7708,-23.2138,
0.7883,-23.2138,
0.8058,-23.2138,
0.8233,-23.2138,
0.8408,-23.2138,
0.8584,-23.2138,
0.8759,-23.2138,
0.8934,-23.2138,
0.9109,-23.2138,
0.9284,-23.2138,
0.9459,-23.2138,
0.9635,-23.2138,
0.981,-23.2138,
0.9985,-23.2137,
1.016,-23.2138,
1.0335,-23.2137,
,,
0,-22.2717,
0.0175,-22.2717,
0.035,-22.2716,
0.0526,-22.2715,
0.0701,-22.2714,
0.0876,-22.2713,
0.1051,-22.2711,
0.1226,-22.2709,
0.1401,-22.2706,
0.1577,-22.2703,
0.1752,-22.27,
0.1927,-22.2697,
0.2102,-22.2693,
0.2277,-22.2689,
0.2452,-22.2684,
0.2628,-22.2679,
0.2803,-22.2674,
0.2978,-22.2669,
0.3153,-22.2664,
0.3328,-22.2658,
0.3504,-22.2652,
0.3679,-22.2645,
0.3854,-22.2639,
0.4029,-22.2632,
0.4204,-22.2625,
0.4379,-22.2617,
0.4555,-22.261,
0.473,-22.2602,
0.4905,-22.2595,
0.508,-22.2587,
0.5255,-22.2578,
0.543,-22.257,
0.5606,-22.2562,
0.5781,-22.2553,
0.5956,-22.2545,
0.6131,-22.2537,
0.6306,-22.2528,
0.6481,-22.252,
0.6657,-22.2511,
0.6832,-22.2503,
0.7007,-22.2495,
0.7182,-22.2486,
0.7357,-22.2478,
0.7533,-22.2471,
0.7708,-22.2463,
0.7883,-22.2456,
0.8058,-22.2449,
0.8233,-22.2442,
0.8408,-22.2436,
0.8584,-22.243,
0.8759,-22.2425,
0.8934,-22.242,
0.9109,-22.2415,
0.9284,-22.2412,
0.9459,-22.2408,
0.9635,-22.2405,
0.981,-22.2403,
0.9985,-22.2402,
1.016,-22.2401,
1.0335,-22.24,
,,
0,-22.1423,
0.0175,-22.1423,
0.035,-22.1423,
0.0526,-22.1423,
0.0701,-22.1423,
0.0876,-22.1423,
0.1051,-22.1423,
0.1226,-22.1423,
0.1401,-22.1423,
0.1577,-22.1423,
0.1752,-22.1423,
0.1927,-22.1423,
0.2102,-22.1423,
0.2277,-22.1423,
0.2452,-22.1423,
0.2628,-22.1423,
0.2803,-22.1423,
0.2978,-22.1423,
0.3153,-22.1423,
0.3328,-22.1422,
0.3504,-22.1422,
0.3679,-22.1422,
0.3854,-22.1422,
0.4029,-22.1422,
0.4204,-22.1422,
0.4379,-22.1421,
0.4555,-22.1421,
0.473,-22.1421,
0.4905,-22.1421,
0.508,-22.1421,
0.5255,-22.142,
0.543,-22.142,
0.5606,-22.142,
0.5781,-22.142,
0.5956,-22.1419,
0.6131,-22.1419,
0.6306,-22.1419,
0.6481,-22.1418,
0.6657,-22.1418,
0.6832,-22.1417,
0.7007,-22.1417,
0.7182,-22.1417,
0.7357,-22.1416,
0.7533,-22.1416,
0.7708,-22.1415,
0.7883,-22.1415,
0.8058,-22.1414,
0.8233,-22.1414,
0.8408,-22.1413,
0.8584,-22.1413,
0.8759,-22.1412,
0.8934,-22.1412,
0.9109,-22.1411,
0.9284,-22.1411,
0.9459,-22.1411,
0.9635,-22.141,
0.981,-22.141,
0.9985,-22.141,
1.016,-22.141,
