blank,k,E,EF
,0,-54.3465,2.5243
,0.0115,-54.3465,
,0.0231,-54.3463,
,0.0346,-54.3461,
,0.0462,-54.3457,
,0.0577,-54.3452,
,0.0693,-54.3447,
,0.0808,-54.344,
,0.0924,-54.3433,
,0.1039,-54.3424,
,0.1155,-54.3415,
,0.127,-54.3404,
,0.1386,-54.3393,
,0.1501,-54.3381,
,0.1617,-54.3369,
,0.1732,-54.3356,
,0.1848,-54.3342,
,0.1963,-54.3328,
,0.2078,-54.3313,
,0.2194,-54.3297,
,0.2309,-54.3282,
,0.2425,-54.3266,
,0.254,-54.325,
,0.2656,-54.3233,
,0.2771,-54.3217,
,0.2887,-54.32,
,0.3002,-54.3183,
,0.3118,-54.3167,
,0.3233,-54.315,
,0.3349,-54.3134,
,0.3464,-54.3118,
,0.358,-54.3103,
,0.3695,-54.3087,
,0.3811,-54.3073,
,0.3926,-54.3059,
,0.4041,-54.3045,
,0.4157,-54.3032,
,0.4272,-54.3019,
,0.4388,-54.3008,
,0.4503,-54.2997,
,0.4619,-54.2987,
,0.4734,-54.2978,
,0.485,-54.2969,
,0.4965,-54.2962,
,0.5081,-54.2955,
,0.5196,-54.295,
,0.5312,-54.2945,
,0.5427,-54.2941,
,0.5543,-54.2939,
,0.5658,-54.2937,
,0.5774,-54.2937,
,0.584,-54.2937,
,0.5907,-54.2936,
,0.5974,-54.2936,
,0.604,-54.2936,
,0.6107,-54.2935,
,0.6174,-54.2934,
,0.624,-54.2934,
,0.6307,-54.2933,
,0.6374,-54.2932,
,0.644,-54.2931,
,0.6507,-54.293,
,0.6574,-54.2929,
,0.664,-54.2927,
,0.6707,-54.2926,
,0.6774,-54.2924,
,0.684,-54.2923,
,0.6907,-54.2921,
,0.6974,-54.292,
,0.704,-54.2918,
,0.7107,-54.2916,
,0.7174,-54.2914,
,0.724,-54.2912,
,0.7307,-54.291,
,0.7374,-54.2908,
,0.744,-54.2906,
,0.7507,-54.2904,
,0.7574,-54.2902,
,0.764,-54.29,
,0.7707,-54.2898,
,0.7774,-54.2896,
,0.784,-54.2894,
,0.7907,-54.2892,
,0.7974,-54.289,
,0.804,-54.2888,
,0.8107,-54.2887,
,0.8174,-54.2885,
,0.824,-54.2883,
,0.8307,-54.2882,
,0.8374,-54.288,
,0.844,-54.2879,
,0.8507,-54.2877,
,0.8574,-54.2876,
,0.864,-54.2875,
,0.8707,-54.2874,
,0.8774,-54.2873,
,0.884,-54.2873,
,0.8907,-54.2872,
,0.8974,-54.2872,
,0.904,-54.2871,
,0.9107,-54.2871,
,0.924,-54.2872,
,0.9374,-54.2873,
,0.9507,-54.2875,
,0.964,-54.2877,
,0.9774,-54.2881,
,0.9907,-54.2885,
,1.004,-54.2891,
,1.0174,-54.2897,
,1.0307,-54.2904,
,1.044,-54.2912,
,1.0574,-54.2921,
,1.0707,-54.2931,
,1.084,-54.2942,
,1.0974,-54.2954,
,1.1107,-54.2967,
,1.124,-54.2981,
,1.1374,-54.2995,
,1.1507,-54.301,
,1.164,-54.3026,
,1.1774,-54.3043,
,1.1907,-54.306,
,1.204,-54.3078,
,1.2174,-54.3096,
,1.2307,-54.3115,
,1.244,-54.3134,
,1.2574,-54.3153,
,1.2707,-54.3173,
,1.284,-54.3192,
,1.2974,-54.3211,
,1.3107,-54.3231,
,1.324,-54.325,
,1.3374,-54.3269,
,1.3507,-54.3287,
,1.364,-54.3305,
,1.3774,-54.3323,
,1.3907,-54.334,
,1.404,-54.3356,
,1.4174,-54.3371,
,1.4307,-54.3385,
,1.444,-54.3398,
,1.4574,-54.3411,
,1.4707,-54.3422,
,1.484,-54.3432,
,1.4974,-54.344,
,1.5107,-54.3448,
,1.524,-54.3454,
,1.5374,-54.3459,
,1.5507,-54.3463,
,1.564,-54.3465,
,1.5774,-54.3465,
,,,
,0,-54.3312,
,0.0115,-54.3311,
,0.0231,-54.331,
,0.0346,-54.3307,
,0.0462,-54.3304,
,0.0577,-54.33,
,0.0693,-54.3294,
,0.0808,-54.3288,
,0.0924,-54.3281,
,0.1039,-54.3273,
,0.1155,-54.3264,
,0.127,-54.3255,
,0.1386,-54.3244,
,0.1501,-54.3233,
,0.1617,-54.3222,
,0.1732,-54.3209,
,0.1848,-54.3196,
,0.1963,-54.3183,
,0.2078,-54.3169,
,0.2194,-54.3155,
,0.2309,-54.314,
,0.2425,-54.3125,
,0.254,-54.3109,
,0.2656,-54.3094,
,0.2771,-54.3078,
,0.2887,-54.3062,
,0.3002,-54.3046,
,0.3118,-54.3031,
,0.3233,-54.3015,
,0.3349,-54.2999,
,0.3464,-54.2984,
,0.358,-54.2969,
,0.3695,-54.2954,
,0.3811,-54.294,
,0.3926,-54.2926,
,0.4041,-54.2913,
,0.4157,-54.29,
,0.4272,-54.2888,
,0.4388,-54.2877,
,0.4503,-54.2866,
,0.4619,-54.2856,
,0.4734,-54.2847,
,0.485,-54.2838,
,0.4965,-54.2831,
,0.5081,-54.2825,
,0.5196,-54.2819,
,0.5312,-54.2814,
,0.5427,-54.2811,
,0.5543,-54.2808,
,0.5658,-54.2807,
,0.5774,-54.2806,
,0.584,-54.2806,
,0.5907,-54.2806,
,0.5974,-54.2806,
,0.604,-54.2805,
,0.6107,-54.2805,
,0.6174,-54.2804,
,0.624,-54.2803,
,0.6307,-54.2803,
,0.6374,-54.2802,
,0.644,-54.2801,
,0.6507,-54.2799,
,0.6574,-54.2798,
,0.664,-54.2797,
,0.6707,-54.2796,
,0.6774,-54.2794,
,0.684,-54.2793,
,0.6907,-54.2791,
,0.6974,-54.2789,
,0.704,-54.2788,
,0.7107,-54.2786,
,0.7174,-54.2784,
,0.724,-54.2782,
,0.7307,-54.278,
,0.7374,-54.2778,
,0.744,-54.2776,
,0.7507,-54.2774,
,0.7574,-54.2772,
,0.764,-54.277,
,0.7707,-54.2768,
,0.7774,-54.2766,
,0.784,-54.2764,
,0.7907,-54.2762,
,0.7974,-54.276,
,0.804,-54.2758,
,0.8107,-54.2756,
,0.8174,-54.2755,
,0.824,-54.2753,
,0.8307,-54.2751,
,0.8374,-54.275,
,0.844,-54.2748,
,0.8507,-54.2747,
,0.8574,-54.2746,
,0.864,-54.2745,
,0.8707,-54.2744,
,0.8774,-54.2743,
,0.884,-54.2742,
,0.8907,-54.2742,
,0.8974,-54.2741,
,0.904,-54.2741,
,0.9107,-54.2741,
,0.924,-54.2741,
,0.9374,-54.2742,
,0.9507,-54.2744,
,0.964,-54.2747,
,0.9774,-54.2751,
,0.9907,-54.2755,
,1.004,-54.276,
,1.0174,-54.2767,
,1.0307,-54.2774,
,1.044,-54.2782,
,1.0574,-54.2791,
,1.0707,-54.2801,
,1.084,-54.2812,
,1.0974,-54.2824,
,1.1107,-54.2836,
,1.124,-54.285,
,1.1374,-54.2864,
,1.1507,-54.2879,
,1.164,-54.2894,
,1.1774,-54.2911,
,1.1907,-54.2927,
,1.204,-54.2945,
,1.2174,-54.2962,
,1.2307,-54.298,
,1.244,-54.2999,
,1.2574,-54.3017,
,1.2707,-54.3036,
,1.284,-54.3055,
,1.2974,-54.3073,
,1.3107,-54.3092,
,1.324,-54.311,
,1.3374,-54.3128,
,1.3507,-54.3145,
,1.364,-54.3162,
,1.3774,-54.3178,
,1.3907,-54.3194,
,1.404,-54.3209,
,1.4174,-54.3223,
,1.4307,-54.3237,
,1.444,-54.3249,
,1.4574,-54.3261,
,1.4707,-54.3271,
,1.484,-54.328,
,1.4974,-54.3289,
,1.5107,-54.3296,
,1.524,-54.3301,
,1.5374,-54.3306,
,1.5507,-54.3309,
,1.564,-54.3311,
,1.5774,-54.3312,
,,,
,0,-54.1198,
,0.0115,-54.1197,
,0.0231,-54.1196,
,0.0346,-54.1194,
,0.0462,-54.1191,
,0.0577,-54.1188,
,0.0693,-54.1183,
,0.0808,-54.1178,
,0.0924,-54.1173,
,0.1039,-54.1166,
,0.1155,-54.1159,
,0.127,-54.1152,
,0.1386,-54.1143,
,0.1501,-54.1134,
,0.1617,-54.1125,
,0.1732,-54.1115,
,0.1848,-54.1105,
,0.1963,-54.1094,
,0.2078,-54.1083,
,0.2194,-54.1071,
