E,dos,int,EF
-10,3.64E-29,3.64E-31,2.524
-9.99,3.81E-28,4.17E-30,
-9.98,3.81E-27,4.23E-29,
-9.97,3.66E-26,4.08E-28,
-9.96,3.36E-25,3.77E-27,
-9.95,2.96E-24,3.33E-26,
-9.94,2.49E-23,2.83E-25,
-9.93,2.01E-22,2.30E-24,
-9.92,1.56E-21,1.79E-23,
-9.91,1.15E-20,1.33E-22,
-9.9,8.19E-20,9.52E-22,
-9.89,5.56E-19,6.52E-21,
-9.88,3.62E-18,4.28E-20,
-9.87,2.26E-17,2.69E-19,
-9.86,1.35E-16,1.62E-18,
-9.85,7.73E-16,9.35E-18,
-9.84,4.24E-15,5.18E-17,
-9.83,2.23E-14,2.74E-16,
-9.82,1.12E-13,1.40E-15,
-9.81,5.40E-13,6.80E-15,
-9.8,2.50E-12,3.18E-14,
-9.79,1.10E-11,1.42E-13,
-9.78,4.68E-11,6.10E-13,
-9.77,1.90E-10,2.51E-12,
-9.76,7.39E-10,9.90E-12,
-9.75,2.76E-09,3.75E-11,
-9.74,9.84E-09,1.36E-10,
-9.73,3.37E-08,4.73E-10,
-9.72,1.11E-07,1.58E-09,
-9.71,3.47E-07,5.05E-09,
-9.7,1.05E-06,1.55E-08,
-9.69,3.02E-06,4.57E-08,
-9.68,8.34E-06,1.29E-07,
-9.67,2.21E-05,3.50E-07,
-9.66,5.61E-05,9.12E-07,
-9.65,1.37E-04,2.28E-06,
-9.64,3.19E-04,5.47E-06,
-9.63,7.14E-04,1.26E-05,
-9.62,1.53E-03,2.79E-05,
-9.61,3.15E-03,5.94E-05,
-9.6,6.22E-03,1.22E-04,
-9.59,1.18E-02,2.39E-04,
-9.58,2.13E-02,4.53E-04,
-9.57,3.72E-02,8.24E-04,
-9.56,6.21E-02,1.45E-03,
-9.55,9.97E-02,2.44E-03,
-9.54,1.54E-01,3.98E-03,
-9.53,2.27E-01,6.25E-03,
-9.52,3.23E-01,9.49E-03,
-9.51,4.42E-01,1.39E-02,
-9.5,5.82E-01,1.97E-02,
-9.49,7.37E-01,2.71E-02,
-9.48,9.00E-01,3.61E-02,
-9.47,1.06E+00,4.67E-02,
-9.46,1.21E+00,5.88E-02,
-9.45,1.33E+00,7.21E-02,
-9.44,1.42E+00,8.63E-02,
-9.43,1.47E+00,1.01E-01,
-9.42,1.49E+00,1.16E-01,
-9.41,1.47E+00,1.31E-01,
-9.4,1.43E+00,1.45E-01,
-9.39,1.37E+00,1.59E-01,
-9.38,1.29E+00,1.72E-01,
-9.37,1.22E+00,1.84E-01,
-9.36,1.14E+00,1.95E-01,
-9.35,1.07E+00,2.06E-01,
-9.34,1.01E+00,2.16E-01,
-9.33,9.52E-01,2.25E-01,
-9.32,9.04E-01,2.35E-01,
-9.31,8.64E-01,2.43E-01,
-9.3,8.28E-01,2.51E-01,
-9.29,7.98E-01,2.59E-01,
-9.28,7.72E-01,2.67E-01,
-9.27,7.48E-01,2.75E-01,
-9.26,7.27E-01,2.82E-01,
-9.25,7.08E-01,2.89E-01,
-9.24,6.91E-01,2.96E-01,
-9.23,6.76E-01,3.03E-01,
-9.22,6.61E-01,3.09E-01,
-9.21,6.48E-01,3.16E-01,
-9.2,6.35E-01,3.22E-01,
-9.19,6.24E-01,3.28E-01,
-9.18,6.13E-01,3.34E-01,
-9.17,6.03E-01,3.40E-01,
-9.16,5.93E-01,3.46E-01,
-9.15,5.84E-01,3.52E-01,
-9.14,5.76E-01,3.58E-01,
-9.13,5.68E-01,3.64E-01,
-9.12,5.60E-01,3.69E-01,
-9.11,5.53E-01,3.75E-01,
-9.1,5.46E-01,3.80E-01,
-9.09,5.40E-01,3.86E-01,
-9.08,5.33E-01,3.91E-01,
-9.07,5.27E-01,3.96E-01,
-9.06,5.22E-01,4.01E-01,
-9.05,5.16E-01,4.07E-01,
-9.04,5.11E-01,4.12E-01,
-9.03,5.06E-01,4.17E-01,
-9.02,5.01E-01,4.22E-01,
-9.01,4.97E-01,4.27E-01,
-9,4.92E-01,4.32E-01,
-8.99,4.88E-01,4.37E-01,
-8.98,4.84E-01,4.41E-01,
-8.97,4.80E-01,4.46E-01,
-8.96,4.76E-01,4.51E-01,
-8.95,4.73E-01,4.56E-01,
-8.94,4.69E-01,4.60E-01,
-8.93,4.66E-01,4.65E-01,
-8.92,4.63E-01,4.70E-01,
-8.91,4.60E-01,4.74E-01,
-8.9,4.57E-01,4.79E-01,
-8.89,4.54E-01,4.83E-01,
-8.88,4.51E-01,4.88E-01,
-8.87,4.48E-01,4.92E-01,
-8.86,4.46E-01,4.97E-01,
-8.85,4.43E-01,5.01E-01,
-8.84,4.41E-01,5.06E-01,
-8.83,4.38E-01,5.10E-01,
-8.82,4.36E-01,5.14E-01,
-8.81,4.34E-01,5.19E-01,
-8.8,4.32E-01,5.23E-01,
-8.79,4.30E-01,5.27E-01,
-8.78,4.28E-01,5.32E-01,
-8.77,4.26E-01,5.36E-01,
-8.76,4.24E-01,5.40E-01,
-8.75,4.22E-01,5.44E-01,
-8.74,4.20E-01,5.49E-01,
-8.73,4.19E-01,5.53E-01,
-8.72,4.17E-01,5.57E-01,
-8.71,4.16E-01,5.61E-01,
-8.7,4.14E-01,5.65E-01,
-8.69,4.13E-01,5.69E-01,
-8.68,4.11E-01,5.73E-01,
-8.67,4.10E-01,5.78E-01,
-8.66,4.09E-01,5.82E-01,
-8.65,4.08E-01,5.86E-01,
-8.64,4.06E-01,5.90E-01,
-8.63,4.05E-01,5.94E-01,
-8.62,4.04E-01,5.98E-01,
-8.61,4.03E-01,6.02E-01,
-8.6,4.02E-01,6.06E-01,
-8.59,4.01E-01,6.10E-01,
-8.58,4.01E-01,6.14E-01,
-8.57,4.00E-01,6.18E-01,
-8.56,3.99E-01,6.22E-01,
-8.55,3.98E-01,6.26E-01,
-8.54,3.97E-01,6.30E-01,
-8.53,3.97E-01,6.34E-01,
-8.52,3.96E-01,6.38E-01,
-8.51,3.96E-01,6.42E-01,
-8.5,3.95E-01,6.46E-01,
-8.49,3.95E-01,6.50E-01,
-8.48,3.94E-01,6.54E-01,
