E,dos,int,EF
-10,2.38E+02,2.98E+02,-3.029
-9.999,2.38E+02,2.98E+02,
-9.998,1.37E+02,2.98E+02,
-9.997,1.37E+02,2.99E+02,
-9.996,1.37E+02,2.99E+02,
-9.995,1.37E+02,2.99E+02,
-9.994,1.39E+01,2.99E+02,
-9.993,1.39E+01,2.99E+02,
-9.992,1.39E+01,2.99E+02,
-9.991,1.39E+01,2.99E+02,
-9.99,1.39E+01,2.99E+02,
-9.989,1.39E+01,2.99E+02,
-9.988,1.39E+01,2.99E+02,
-9.987,1.39E+01,2.99E+02,
-9.986,4.23E+01,2.99E+02,
-9.985,4.23E+01,2.99E+02,
-9.984,4.23E+01,2.99E+02,
-9.983,4.23E+01,2.99E+02,
-9.982,4.23E+01,2.99E+02,
-9.981,4.23E+01,2.99E+02,
-9.98,4.23E+01,2.99E+02,
-9.979,7.30E+01,2.99E+02,
-9.978,7.30E+01,2.99E+02,
-9.977,7.30E+01,2.99E+02,
-9.976,7.30E+01,3.00E+02,
-9.975,7.30E+01,3.00E+02,
-9.974,7.30E+01,3.00E+02,
-9.973,7.30E+01,3.00E+02,
-9.972,7.30E+01,3.00E+02,
-9.971,7.30E+01,3.00E+02,
-9.97,7.30E+01,3.00E+02,
-9.969,7.30E+01,3.00E+02,
-9.968,7.30E+01,3.00E+02,
-9.967,7.30E+01,3.00E+02,
-9.966,7.30E+01,3.00E+02,
-9.965,7.30E+01,3.00E+02,
-9.964,7.30E+01,3.00E+02,
-9.963,5.80E+01,3.00E+02,
-9.962,5.80E+01,3.01E+02,
-9.961,5.80E+01,3.01E+02,
-9.96,5.80E+01,3.01E+02,
-9.959,5.80E+01,3.01E+02,
-9.958,5.80E+01,3.01E+02,
-9.957,5.68E+01,3.01E+02,
-9.956,5.68E+01,3.01E+02,
-9.955,5.68E+01,3.01E+02,
-9.954,5.68E+01,3.01E+02,
-9.953,5.68E+01,3.01E+02,
-9.952,5.68E+01,3.01E+02,
-9.951,5.68E+01,3.01E+02,
-9.95,5.68E+01,3.01E+02,
-9.949,5.68E+01,3.01E+02,
-9.948,5.68E+01,3.01E+02,
-9.947,5.68E+01,3.01E+02,
-9.946,5.68E+01,3.01E+02,
-9.945,5.68E+01,3.02E+02,
-9.944,5.68E+01,3.02E+02,
-9.943,5.68E+01,3.02E+02,
-9.942,7.07E+01,3.02E+02,
-9.941,7.07E+01,3.02E+02,
-9.94,7.07E+01,3.02E+02,
-9.939,7.07E+01,3.02E+02,
-9.938,7.07E+01,3.02E+02,
-9.937,7.07E+01,3.02E+02,
-9.936,3.94E+01,3.02E+02,
-9.935,3.94E+01,3.02E+02,
-9.934,3.94E+01,3.02E+02,
-9.933,3.94E+01,3.02E+02,
-9.932,3.94E+01,3.02E+02,
-9.931,3.94E+01,3.02E+02,
-9.93,3.94E+01,3.02E+02,
-9.929,3.94E+01,3.02E+02,
-9.928,3.94E+01,3.02E+02,
-9.927,5.35E+01,3.02E+02,
-9.926,5.35E+01,3.03E+02,
-9.925,5.35E+01,3.03E+02,
-9.924,5.35E+01,3.03E+02,
-9.923,5.35E+01,3.03E+02,
-9.922,5.35E+01,3.03E+02,
-9.921,5.35E+01,3.03E+02,
-9.92,5.35E+01,3.03E+02,
-9.919,5.35E+01,3.03E+02,
-9.918,5.35E+01,3.03E+02,
-9.917,5.35E+01,3.03E+02,
-9.916,5.35E+01,3.03E+02,
-9.915,5.35E+01,3.03E+02,
-9.914,5.35E+01,3.03E+02,
-9.913,5.32E+01,3.03E+02,
-9.912,5.32E+01,3.03E+02,
-9.911,5.32E+01,3.03E+02,
-9.91,5.32E+01,3.03E+02,
-9.909,5.32E+01,3.03E+02,
-9.908,5.32E+01,3.03E+02,
-9.907,5.32E+01,3.04E+02,
-9.906,5.32E+01,3.04E+02,
-9.905,5.32E+01,3.04E+02,
-9.904,5.32E+01,3.04E+02,
-9.903,5.32E+01,3.04E+02,
-9.902,5.35E+01,3.04E+02,
-9.901,6.33E+01,3.04E+02,
-9.9,6.33E+01,3.04E+02,
-9.899,6.33E+01,3.04E+02,
-9.898,6.33E+01,3.04E+02,
-9.897,6.33E+01,3.04E+02,
-9.896,6.33E+01,3.04E+02,
-9.895,6.33E+01,3.04E+02,
-9.894,5.94E+01,3.04E+02,
-9.893,5.94E+01,3.04E+02,
-9.892,5.94E+01,3.04E+02,
-9.891,5.94E+01,3.04E+02,
-9.89,5.94E+01,3.05E+02,
-9.889,5.94E+01,3.05E+02,
-9.888,5.94E+01,3.05E+02,
-9.887,5.94E+01,3.05E+02,
-9.886,5.94E+01,3.05E+02,
-9.885,5.94E+01,3.05E+02,
-9.884,5.94E+01,3.05E+02,
-9.883,5.94E+01,3.05E+02,
-9.882,5.94E+01,3.05E+02,
-9.881,5.94E+01,3.05E+02,
-9.88,5.63E+01,3.05E+02,
-9.879,5.63E+01,3.05E+02,
-9.878,5.63E+01,3.05E+02,
-9.877,5.63E+01,3.05E+02,
-9.876,5.63E+01,3.05E+02,
-9.875,5.63E+01,3.05E+02,
-9.874,5.63E+01,3.05E+02,
-9.873,5.63E+01,3.06E+02,
-9.872,5.63E+01,3.06E+02,
-9.871,5.63E+01,3.06E+02,
-9.87,5.63E+01,3.06E+02,
-9.869,5.63E+01,3.06E+02,
-9.868,5.63E+01,3.06E+02,
