E,dos,int,EF
-10,2.38E+02,2.98E+02,-3.029
-9.99,1.39E+01,2.99E+02,
-9.98,4.23E+01,2.99E+02,
-9.97,7.30E+01,3.00E+02,
-9.96,5.80E+01,3.01E+02,
-9.95,5.68E+01,3.01E+02,
-9.94,7.07E+01,3.02E+02,
-9.93,3.94E+01,3.02E+02,
-9.92,5.35E+01,3.03E+02,
-9.91,5.32E+01,3.03E+02,
-9.9,6.33E+01,3.04E+02,
-9.89,5.94E+01,3.05E+02,
-9.88,5.63E+01,3.05E+02,
-9.87,5.63E+01,3.06E+02,
-9.86,4.33E+01,3.06E+02,
-9.85,4.33E+01,3.07E+02,
-9.84,3.09E+01,3.07E+02,
-9.83,4.13E+01,3.07E+02,
-9.82,8.87E+01,3.08E+02,
-9.81,8.87E+01,3.09E+02,
-9.8,4.72E+01,3.10E+02,
-9.79,4.72E+01,3.10E+02,
-9.78,4.72E+01,3.11E+02,
-9.77,7.61E+01,3.11E+02,
-9.76,1.61E+01,3.11E+02,
-9.75,1.61E+01,3.12E+02,
-9.74,1.61E+01,3.12E+02,
-9.73,1.61E+01,3.12E+02,
-9.72,6.75E+01,3.12E+02,
-9.71,1.09E+02,3.13E+02,
-9.7,1.27E+01,3.14E+02,
-9.69,6.97E+01,3.14E+02,
-9.68,7.82E+01,3.15E+02,
-9.67,6.55E+01,3.16E+02,
-9.66,6.55E+01,3.16E+02,
-9.65,2.78E+01,3.17E+02,
-9.64,1.14E+01,3.17E+02,
-9.63,1.14E+01,3.17E+02,
-9.62,1.79E+02,3.19E+02,
-9.61,5.40E+01,3.19E+02,
-9.6,2.32E+01,3.20E+02,
-9.59,2.32E+01,3.20E+02,
-9.58,0.00E+00,3.20E+02,
-9.57,2.76E+01,3.20E+02,
-9.56,1.15E+02,3.20E+02,
-9.55,1.15E+02,3.22E+02,
-9.54,8.90E+01,3.22E+02,
-9.53,5.87E+01,3.23E+02,
-9.52,5.40E+01,3.23E+02,
-9.51,5.40E+01,3.24E+02,
-9.5,2.17E+02,3.25E+02,
-9.49,4.89E+01,3.26E+02,
-9.48,5.72E+01,3.27E+02,
-9.47,5.72E+01,3.28E+02,
-9.46,2.64E+01,3.28E+02,
-9.45,2.64E+01,3.29E+02,
-9.44,2.64E+01,3.29E+02,
-9.43,3.43E+01,3.29E+02,
-9.42,4.79E+01,3.30E+02,
-9.41,5.17E+01,3.30E+02,
-9.4,9.37E+01,3.31E+02,
-9.39,2.93E+01,3.32E+02,
-9.38,2.93E+01,3.32E+02,
-9.37,4.36E+01,3.33E+02,
-9.36,4.36E+01,3.33E+02,
-9.35,5.92E+01,3.34E+02,
-9.34,4.35E+01,3.34E+02,
-9.33,4.35E+01,3.34E+02,
-9.32,6.90E+01,3.36E+02,
-9.31,3.84E+01,3.36E+02,
-9.3,1.60E+02,3.37E+02,
-9.29,1.33E+02,3.38E+02,
-9.28,4.48E+01,3.40E+02,
-9.27,4.48E+01,3.40E+02,
-9.26,2.93E+01,3.41E+02,
-9.25,2.93E+01,3.41E+02,
-9.24,3.82E+01,3.41E+02,
-9.23,8.04E+01,3.42E+02,
-9.22,8.04E+01,3.43E+02,
-9.21,1.61E+01,3.43E+02,
-9.2,1.61E+01,3.43E+02,
-9.19,1.61E+01,3.43E+02,
-9.18,1.08E+02,3.44E+02,
-9.17,4.89E+01,3.45E+02,
-9.16,4.89E+01,3.45E+02,
-9.15,4.89E+01,3.45E+02,
-9.14,5.32E+01,3.47E+02,
-9.13,2.14E+01,3.47E+02,
-9.12,1.44E+02,3.48E+02,
-9.11,3.61E+01,3.49E+02,
-9.1,8.57E+02,3.49E+02,
-9.09,0.00E+00,3.50E+02,
-9.08,9.66E+00,3.50E+02,
-9.07,2.90E+01,3.50E+02,
-9.06,4.65E+01,3.51E+02,
-9.05,6.58E+01,3.51E+02,
-9.04,7.89E+01,3.52E+02,
-9.03,7.89E+01,3.53E+02,
-9.02,7.52E+01,3.53E+02,
-9.01,5.20E+01,3.54E+02,
-9,5.20E+01,3.55E+02,
-8.99,8.18E+01,3.55E+02,
-8.98,8.18E+01,3.56E+02,
-8.97,9.27E+01,3.57E+02,
-8.96,5.18E+01,3.58E+02,
-8.95,5.18E+01,3.58E+02,
-8.94,8.75E+00,3.59E+02,
-8.93,3.86E+02,3.59E+02,
-8.92,5.23E+01,3.60E+02,
-8.91,5.23E+01,3.60E+02,
-8.9,5.23E+01,3.61E+02,
-8.89,7.15E+01,3.61E+02,
-8.88,1.28E+02,3.63E+02,
-8.87,5.33E+01,3.63E+02,
-8.86,5.33E+01,3.64E+02,
-8.85,5.33E+01,3.64E+02,
-8.84,4.49E+01,3.65E+02,
-8.83,1.22E+02,3.65E+02,
-8.82,9.61E+01,3.66E+02,
-8.81,6.88E+01,3.67E+02,
-8.8,5.95E+01,3.68E+02,
-8.79,3.44E+01,3.68E+02,
-8.78,2.73E+01,3.69E+02,
-8.77,2.73E+01,3.69E+02,
-8.76,3.44E+01,3.71E+02,
-8.75,2.48E+01,3.71E+02,
-8.74,1.33E+02,3.71E+02,
-8.73,5.46E+01,3.72E+02,
-8.72,4.49E+01,3.73E+02,
-8.71,2.32E+01,3.73E+02,
-8.7,1.52E+01,3.73E+02,
-8.69,1.52E+01,3.74E+02,
-8.68,8.75E+01,3.75E+02,
-8.67,4.75E+01,3.75E+02,
-8.66,4.04E+01,3.76E+02,
-8.65,3.23E+01,3.76E+02,
-8.64,3.23E+01,3.77E+02,
-8.63,3.23E+01,3.77E+02,
-8.62,3.44E+01,3.77E+02,
-8.61,7.50E+01,3.78E+02,
-8.6,1.50E+02,3.79E+02,
-8.59,1.28E+02,3.80E+02,
-8.58,7.64E+01,3.81E+02,
-8.57,7.95E+00,3.82E+02,
-8.56,7.95E+00,3.82E+02,
-8.55,7.95E+00,3.82E+02,
-8.54,7.95E+00,3.82E+02,
-8.53,7.95E+00,3.82E+02,
-8.52,2.49E+01,3.82E+02,
-8.51,2.49E+01,3.82E+02,
-8.5,1.70E+01,3.82E+02,
-8.49,3.12E+01,3.83E+02,
-8.48,1.42E+01,3.84E+02,
-8.47,7.26E+01,3.85E+02,
-8.46,7.26E+01,3.86E+02,
-8.45,2.36E+01,3.87E+02,
-8.44,2.36E+01,3.87E+02,
-8.43,6.05E+01,3.87E+02,
-8.42,2.25E+01,3.88E+02,
-8.41,3.00E+01,3.88E+02,
-8.4,3.00E+01,3.88E+02,
-8.39,3.00E+01,3.89E+02,
-8.38,6.02E+01,3.89E+02,
-8.37,1.23E+02,3.90E+02,
-8.36,7.52E+00,3.90E+02,
-8.35,1.95E+01,3.91E+02,
-8.34,1.95E+01,3.91E+02,
-8.33,3.08E+01,3.91E+02,
-8.32,4.04E+01,3.91E+02,
-8.31,6.60E+01,3.92E+02,
-8.3,9.04E+01,3.93E+02,
-8.29,5.41E+01,3.93E+02,
-8.28,5.41E+01,3.94E+02,
-8.27,1.04E+02,3.95E+02,
-8.26,1.04E+02,3.96E+02,
-8.25,0.00E+00,3.96E+02,
-8.24,0.00E+00,3.96E+02,
-8.23,1.45E+01,3.97E+02,
-8.22,1.45E+01,3.97E+02,
-8.21,3.88E+01,3.97E+02,
-8.2,3.88E+01,3.97E+02,
-8.19,3.88E+01,3.98E+02,
-8.18,0.00E+00,3.98E+02,
-8.17,1.06E+02,3.99E+02,
-8.16,2.77E+01,3.99E+02,
-8.15,4.71E+01,3.99E+02,
-8.14,6.26E+01,4.00E+02,
-8.13,6.26E+01,4.01E+02,
-8.12,4.77E+01,4.01E+02,
-8.11,4.77E+01,4.02E+02,
-8.1,4.99E+01,4.02E+02,
-8.09,4.17E+01,4.03E+02,
-8.08,4.17E+01,4.03E+02,
-8.07,1.77E+01,4.03E+02,
-8.06,5.68E+01,4.04E+02,
-8.05,5.68E+01,4.04E+02,
-8.04,5.68E+01,4.05E+02,
-8.03,6.48E+01,4.05E+02,
-8.02,4.91E+01,4.06E+02,
-8.01,7.99E+00,4.06E+02,
-8,8.01E+01,4.07E+02,
-7.99,6.88E+01,4.08E+02,
-7.98,6.88E+01,4.08E+02,
-7.97,5.67E+01,4.09E+02,
-7.96,5.67E+01,4.09E+02,
-7.95,3.38E+01,4.10E+02,
-7.94,4.14E+01,4.10E+02,
-7.93,4.14E+01,4.11E+02,
-7.92,4.14E+01,4.11E+02,
-7.91,5.86E+01,4.11E+02,
-7.9,5.86E+01,4.12E+02,
