Count,Score,Grade
1,75.0,C
2,5.0,F
3,20.0,F
4,87.5,B
5,100.0,A
6,97.5,A
7,95.0,A
8,30.0,F
9,65.0,D
10,37.5,F
11,100.0,A
12,57.5,F
13,75.0,C
14,97.5,A
15,30.0,F
16,70.0,C
17,100.0,A
18,90.0,A
19,90.0,A
20,90.0,A
21,97.5,A
22,100.0,A
23,97.5,A
24,90.0,A
25,65.0,D
26,60.0,D
27,80.0,B
28,100.0,A
29,70.0,C
30,85.0,B
31,100.0,A
32,62.5,D
33,65.0,D
34,100.0,A
35,60.0,D
36,67.5,D
37,60.0,D
38,80.0,B
39,85.0,B
40,50.0,F
41,80.0,B
42,65.0,D
43,57.5,F
44,52.5,F
45,92.5,A
46,80.0,B
47,77.5,C
48,96.3,A
49,80.0,B
50,50.0,F
51,65.0,D
52,85.0,B
53,75.0,C
54,92.5,A
55,45.0,F
56,52.5,F
57,87.5,B
58,55.0,F
59,52.5,F
60,97.5,A
61,50.0,F
62,45.0,F
63,70.0,C
64,75.0,C
65,65.0,D
66,75.0,C
67,50.0,F
68,75.0,C
69,37.5,F
70,75.0,C
71,100.0,A
72,62.5,D
73,62.5,D
74,75.0,C
75,50.0,F
76,50.0,F
77,100.0,A
78,100.0,A
79,62.5,D
80,87.5,B
81,62.5,D
82,75.0,C
83,100.0,A
84,80.0,B
85,95.0,A
86,72.5,C
87,72.5,C
88,52.5,F
89,72.5,C
90,65.0,D
91,67.5,D
92,70.0,C
93,95.0,A
94,90.0,A
95,97.5,A
96,90.0,A
97,95.0,A
98,97.5,A
99,75.0,C
100,30.0,F
101,37.5,F
102,85.0,B
103,92.5,A
104,65.0,D
105,100.0,A
106,82.5,B
107,30.0,F
108,75.0,C
109,77.5,C
110,57.5,F
111,32.5,F
112,82.5,B
113,40.0,F
114,40.0,F
115,90.0,A
116,77.5,C
117,62.5,D
118,100.0,A
119,77.5,C
120,77.5,C
121,85.0,B
122,92.5,A
123,92.5,A
124,77.5,C
125,55.0,F
126,67.5,D
127,75.0,C
128,100.0,A
129,90.0,A
130,77.5,C
131,100.0,A
132,80.0,B
133,42.5,F
134,62.5,D
135,50.0,F
136,50.0,F
137,70.0,C
138,82.5,B
139,45.0,F
140,45.0,F
141,90.0,A
142,85.0,B
143,0.0,F
144,90.0,A
145,67.5,D
146,95.0,A
147,80.0,B
148,80.0,B
149,70.0,C
150,85.0,B
151,80.0,B
152,45.0,F
153,85.0,B
154,87.5,B
155,90.0,A
156,77.5,C
157,80.0,B
158,85.0,B
159,40.0,F
160,60.0,D
161,55.0,F
162,35.0,F
163,70.0,C
164,80.0,B
165,57.5,F
166,25.0,F
167,82.5,B
168,67.5,D
169,0.0,F
170,87.5,B
171,80.0,B
172,57.5,F
173,82.5,B
174,82.5,B
175,87.5,B
176,100.0,A
177,70.0,C
178,55.0,F
179,65.0,D
180,87.5,B
181,100.0,A
182,90.0,A
183,82.5,B
184,87.5,B
185,42.5,F
186,75.0,C
187,50.0,F
188,85.0,B
189,87.5,B
190,87.5,B
191,85.0,B
192,75.0,C
193,85.0,B
194,70.0,C
195,0.0,F
196,92.5,A
197,95.0,A
198,90.0,A
199,65.0,D
200,95.0,A
201,90.0,A
202,100.0,A
203,80.0,B
204,40.0,F
205,85.0,B
206,95.0,A
207,85.0,B
208,80.0,B
209,85.0,B
210,100.0,A
211,55.0,F
212,25.0,F
213,45.0,F
214,92.5,A
215,25.0,F
216,100.0,A
217,20.0,F
218,25.0,F
