Date,AAL,AAPL,ABT,AMC,BNTX,BXP,CCL,DAL,DVN,EDIT,HPP,JNJ,MRNA,MRO,PFE,SLG,TSLA,UAL,WEN,WFC,WMT,XOM,SP500
5/18/2020,9.87,78.74,90.27,4.72,60.17,80.93,14.72,21.86,13.12,27.06,21.51,150.52,80.00,6.08,36.12,42.21,162.73,24.13,20.57,25.41,127.66,45.34,2953.91
5/19/2020,9.64,78.29,88.22,4.56,50.59,77.82,14.11,21.76,12.31,27.07,20.88,149.02,71.67,5.82,35.75,39.79,161.60,23.68,20.12,23.95,124.95,43.94,2922.94
5/20/2020,9.87,79.81,90.09,4.66,53.04,80.83,14.15,22.72,12.42,28.56,21.12,147.68,73.47,5.95,35.70,39.20,163.11,24.91,20.46,24.52,125.45,45.37,2971.61
5/21/2020,9.89,79.21,90.39,4.63,51.90,79.91,14.60,23.16,12.29,29.28,21.56,146.71,67.05,5.94,35.35,38.54,165.52,25.84,20.86,24.46,124.99,44.56,2948.51
5/22/2020,9.70,79.72,91.47,4.58,51.03,78.01,14.46,22.69,12.14,30.10,21.22,144.37,69.00,5.89,35.58,37.93,163.38,25.40,20.86,24.17,124.33,44.60,2955.45
5/26/2020,11.14,79.18,89.48,5.11,50.88,84.52,16.28,25.65,12.31,27.41,23.14,144.56,57.71,6.03,35.57,42.48,163.77,29.54,20.70,26.26,123.86,45.91,2991.77
5/27/2020,11.98,79.53,90.76,5.60,47.59,88.81,17.24,26.32,12.43,27.86,24.17,144.89,52.18,6.15,35.49,45.36,164.05,30.69,21.78,27.95,122.48,46.24,3036.13
5/28/2020,10.98,79.56,92.10,5.07,46.87,87.76,15.93,25.66,11.66,27.29,25.54,146.97,55.54,5.70,36.22,45.22,161.16,28.89,21.23,27.22,123.69,45.04,3029.73
5/29/2020,10.50,79.49,94.92,5.13,49.53,85.98,15.74,25.21,10.81,27.07,24.17,148.75,61.50,5.34,36.23,43.38,167.00,28.04,21.26,26.47,124.06,45.47,3044.31
6/1/2020,11.11,80.46,93.01,5.31,52.30,89.00,16.80,26.17,11.70,27.42,24.71,147.19,62.18,5.69,33.64,45.39,179.62,29.46,21.90,27.09,123.96,46.28,3055.73
6/2/2020,11.22,80.83,92.62,5.59,52.38,90.21,16.87,26.41,12.16,28.22,26.17,148.25,59.87,5.86,34.31,48.74,176.31,29.91,21.94,27.40,123.94,47.31,3080.82
6/3/2020,11.85,81.28,91.40,5.45,51.16,95.54,17.25,28.47,12.52,27.46,28.28,148.65,59.89,5.95,34.31,52.68,176.59,33.65,22.18,28.83,123.47,49.24,3122.87
6/4/2020,16.72,80.58,88.25,5.38,50.00,96.99,18.48,32.38,12.72,27.04,28.08,146.73,60.59,6.23,34.17,53.32,172.88,39.10,21.94,30.22,122.11,49.10,3112.35
