date,AAPL,TSLA,GOOGL,AMZN,,
4/1/2021,123.00,661.75,2129.78,3161.00,,
4/5/2021,125.90,691.05,2218.96,3226.73,,
4/6/2021,126.21,691.62,2209.26,3223.82,,
4/7/2021,127.90,670.97,2239.03,3279.39,,
4/8/2021,130.36,683.80,2250.43,3299.30,,
4/9/2021,133.00,677.02,2270.67,3372.20,,
4/12/2021,131.24,701.98,2244.62,3379.39,,
4/13/2021,134.43,762.32,2254.43,3400.00,,
4/14/2021,132.03,732.23,2241.91,3333.00,,
4/15/2021,134.50,738.85,2285.25,3379.09,,
4/16/2021,134.16,739.78,2282.75,3399.44,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
